filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
102_1_1_11.wav,0.348867923,0.055373859,1955.243004,1671.566732,3681.031586,0.143822455,-280.3593445,66.12559509,-6.139008999,28.3579998,-17.47507477,-6.395857811,-14.1057663,4.110240459,-17.23241997,1.279312849,-13.02504826,5.694613457,-1.344382763,1.846871972,-2.711263657,10.88931274,-6.206437111,15.80888557,-6.551736355,0.295115262,female
102_1_1_110.wav,0.28871423,0.05530582,2572.800243,1677.319406,4492.607527,0.22281376,-327.2416687,14.92604637,17.83946037,-1.398291588,-23.92141914,-7.65025425,-33.24885941,-2.350462675,-17.33751297,0.776601136,-19.19887161,-1.72312057,-12.60463905,0.259863585,-8.158374786,0.108341895,-4.934167862,16.23888969,-2.415088654,16.82206535,female
102_1_1_111.wav,0.266183823,0.0300979,3212.328582,1408.135146,4734.300595,0.306826637,-460.3015747,10.90151787,5.1268363,1.337627888,-16.59651756,-7.311711311,-18.4110775,-1.184413671,-13.94775009,-5.751173019,-11.51667976,-4.395924091,-6.492269993,-1.780170798,-8.762988091,2.643049479,-7.164022446,5.950157642,-5.147821426,6.153485775,female
102_1_1_112.wav,0.322741419,0.029144803,3530.992516,1894.613794,5697.247024,0.338699777,-426.2139587,7.997936249,8.340500832,14.31686974,-6.69126606,1.175373793,-10.33753681,5.135426044,-15.45057392,-1.209256887,-11.45744419,4.472746849,-6.664993763,4.951821327,-5.980580807,1.526523829,-7.908948898,9.106785774,-9.211610794,6.776346684,female
102_1_1_113.wav,0.327307999,0.04250703,2829.267467,1713.853079,4689.955357,0.202427455,-384.9923096,9.409521103,-0.362858504,21.63345718,-4.192074299,-6.666803837,-24.56522751,-3.205284834,-14.94911194,-3.580178738,-18.22322273,-0.791216075,-9.59886837,-1.405375838,-14.34886265,-5.466184139,-12.46088791,-1.292889833,-10.72465038,-0.168347821,female
102_1_1_114.wav,0.373417348,0.051276866,2163.959942,1633.506151,3929.910714,0.175985863,-246.570755,57.71949387,-20.88521576,38.6019516,-36.67609024,3.499671936,-4.025661945,3.754626751,-11.82256699,-6.998781204,-15.03832912,4.201183796,-2.030791283,7.140417099,-6.093877316,9.055831909,5.471798897,11.30449104,-0.104684837,4.164823532,female
102_1_1_115.wav,0.301474929,0.045470156,2167.193592,1492.160899,3697.619048,0.19796317,-361.3858032,41.09739304,-28.52897644,-7.41226244,-41.58869553,-6.670642853,-24.28886986,-0.767631292,-16.58546638,-6.543900967,-12.35538483,1.685631633,-7.913755417,-2.83436799,-9.582551003,4.32052803,-4.422454357,12.26275826,-3.683500767,8.893956184,female
102_1_1_12.wav,0.338368535,0.043581471,1949.827021,1560.033158,3552.167339,0.154580393,-326.8421936,64.53905487,1.432457209,30.76462746,-16.40858078,-6.47518158,-10.299119,2.106642485,-18.2508297,0.435925603,-12.11436558,2.881445408,-1.406195998,1.146353006,-4.994127274,3.598804474,-9.394031525,8.908863068,-9.531036377,-0.906547189,female
102_1_1_13.wav,0.17835331,0.039307896,1658.817991,1226.827671,3015.120968,0.115838164,-392.7867126,26.61629486,7.374271393,8.585474968,-10.40485382,10.43171978,-12.89565754,3.533026218,-9.548095703,4.858949184,-9.899671555,-0.509284496,-3.341215611,1.163962841,-6.636521816,0.068200156,-6.647075653,3.693363905,-9.62100029,2.100930214,female
102_1_1_14.wav,0.249781176,0.058021367,2148.492534,1567.291817,3815.020161,0.183950773,-317.8669434,34.23916245,-5.476542473,-2.362365961,-25.951437,-1.968993425,-27.71649933,-4.033559799,-20.6495533,-2.669802427,-16.84593964,-0.911076605,-8.38076973,3.208993912,-10.76041985,3.694738865,-8.507122993,8.675859451,-8.672307014,12.10678101,female
102_1_1_15.wav,0.35644111,0.040639952,1910.633261,1613.950667,3341.56586,0.136267221,-365.3450012,50.48093414,16.87263489,6.831268787,-13.84002113,11.53219795,-16.18165207,9.490739822,-9.08917141,1.197661638,-13.94018269,1.534721136,-0.758687913,6.018907547,-10.21316433,4.545167923,-7.915567398,2.073327065,-9.475765228,-0.108777069,female
102_1_1_16.wav,0.239140332,0.057681147,2215.294254,1816.014648,4219.506048,0.170499412,-314.4125671,40.26698303,19.06654549,24.46719933,-36.07814026,-19.86642265,-21.92047501,3.969547987,-20.70788765,-4.13162756,-21.51297188,-5.455562115,-10.5256176,-3.763597965,-14.81777668,-0.45765236,-13.59453773,3.226530313,-11.99411011,7.099904537,female
